iter	Logloss
0	0.4064089996
1	0.2399609548
2	0.1652142308
3	0.1080007409
4	0.07685898078
5	0.0506286132
6	0.03494184716
7	0.02385204069
8	0.01584011122
9	0.0101937959
10	0.007336205797
11	0.005284926901
12	0.004110241928
13	0.003062483389
14	0.002462589539
15	0.001991350486
16	0.001551187797
17	0.001313312485
18	0.001090457637
19	0.0009551757203
20	0.000832871563
21	0.0007309954827
22	0.0006338334081
23	0.0005505450961
24	0.0005022430302
25	0.0004558590858
26	0.0004558361651
27	0.0004092804956
28	0.0004092804956
29	0.000366949768
30	0.000366949768
31	0.0003669467557
32	0.0003297883496
33	0.0003297868352
34	0.0003297807823
35	0.0003297766695
36	0.0003297686929
37	0.0003297692573
38	0.0003297692573
39	0.0003297479826
40	0.0003297445871
41	0.0003297232348
42	0.0003296913336
43	0.0003296902942
44	0.0003296887045
45	0.0003029520891
46	0.0003029456551
47	0.000302927647
48	0.0002781737701
49	0.0002781737701
50	0.0002781643403
51	0.0002781598301
52	0.0002781559029
53	0.0002781372833
54	0.0002781372833
55	0.0002781277312
56	0.0002781309858
57	0.0002781309858
58	0.0002781142662
59	0.0002780805307
60	0.0002780805307
61	0.000278075503
62	0.0002780556934
63	0.0002780580921
64	0.000258043311
65	0.0002580341705
66	0.0002580237908
67	0.0002580163786
68	0.0002580014767
69	0.0002580014767
70	0.0002579854109
71	0.0002580005737
72	0.0002579911864
73	0.0002579780717
74	0.0002579806255
75	0.000257969987
76	0.0002579606184
77	0.0002579419705
78	0.0002579424573
79	0.0002579314214
80	0.0002579314214
81	0.0002579314214
82	0.000257924576
83	0.000257924576
84	0.0002578918187
85	0.0002578918187
86	0.0002579045807
87	0.0002579045807
88	0.0002578882114
89	0.0002578792238
90	0.0002578643219
91	0.0002578577164
92	0.0002578557763
93	0.0002578326652
94	0.0002578189697
95	0.0002578129779
96	0.000257813467
97	0.0002577994353
98	0.0002577917621
99	0.000257774812
